Contribution_ID,Paper_ID,Paper_Title,Predicate_ID,Predicate_Label,Object_ID,Property_Type,Value,Availability%,Avail_Reason,Accessibility%,Access_Reason,Linkability%,Link_Reason,License%,Lic_Reason,Repo_Type,Ontology_Source,License_Name
R789575,R3000,Developing a classification method for periodicall,P15357,Techniques,R160523,resource,Reflectance Conversion,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R160523,100,Inapplicable (not repo URL),,,
R789575,R3000,Developing a classification method for periodicall,P15357,Techniques,R764948,resource, Fast Intensity Hue Saturation,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R764948,100,Inapplicable (not repo URL),,,
R789575,R3000,Developing a classification method for periodicall,P15357,Techniques,R189779,resource,NDVI,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R189779,100,Inapplicable (not repo URL),,,
R789575,R3000,Developing a classification method for periodicall,P15357,Techniques,R108116,resource,Iterative  self-organizing data analysis technique algorithm (ISODATA Classifica,100,Valid: has value,100,Inapplicable (not URL),0,Not Valid: internal ORKG resource R108116,100,Inapplicable (not repo URL),,,
R789575,R3000,Developing a classification method for periodicall,description,description,L1516378,literal,Crop classification for periodic crop maps using Landsat 8 involves analyzing th,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R789575,R3000,Developing a classification method for periodicall,description,description,L1321771,literal,Fast Intensity Hue Saturation (Fast IHS) is an efficient image fusion technique ,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R789575,R3000,Developing a classification method for periodicall,description,description,L1321555,literal,county in Kenya,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R789575,R3000,Developing a classification method for periodicall,description,description,L1321331,literal,Pan sharpening is a remote sensing technique used to enhance the spatial resolut,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R789575,R3000,Developing a classification method for periodicall,description,description,L1321198,literal,Phenological profiles refer to the patterns and timelines of recurring biologica,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R789575,R3000,Developing a classification method for periodicall,wikidata:P4945,download link,L529344,url,https://earthexplorer.usgs.gov/,100,Valid: has value,100,Valid: HTTP 200,100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282419,R1000,,P9041,Methods,L619762,literal,Direct Comparison to a Reference Period,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282420,R1000,,P9041,Methods,L619776,literal,Direct Comparison to a Reference Period,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282421,R1000,,P9041,Methods,L619791,literal,Direct Comparison to a Reference Period,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282422,R1000,,P9041,Methods,L619806,literal,Direct Comparison to a Reference Period,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282423,R1000,,P9041,Methods,L619821,literal,Direct Comparison to a Reference Period,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282424,R1000,,P9041,Methods,L619836,literal,Direct Comparison to a Reference Period,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282425,R1000,,P9041,Methods,L619853,literal,Accounting for Effects of Meteorology  Atmospheric Chemistry  and Long-term Tren,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282426,R1000,,P9041,Methods,L619872,literal,Direct Comparison to a Reference Period,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282427,R1000,,P9041,Methods,L619884,literal,Direct Comparison to a Reference Period,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282428,R1000,,P9041,Methods,L619896,literal,Direct Comparison to a Reference Period: Meteorology discussed  not quantified,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282429,R1000,,P9041,Methods,L619908,literal,Direct Comparison to a Reference Period: Meteorology discussed  not quantified,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282430,R1000,,P9041,Methods,L619925,literal,Accounting for Effects of Meteorology  Atmospheric Chemistry  and Long-term Tren,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282431,R1000,,P9041,Methods,L619943,literal,Direct Comparison to a Reference Period: Meteorology discussed  not quantified,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282432,R1000,,P9041,Methods,L619954,literal,Direct Comparison to a Reference Period: Meteorology discussed  not quantified,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282433,R1000,,P9041,Methods,L619965,literal,Direct Comparison to a Reference Period: Meteorology discussed  not quantified,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282434,R1000,,P9041,Methods,L619976,literal,Direct Comparison to a Reference Period: Meteorology discussed  not quantified,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282435,R1000,,P9041,Methods,L619987,literal,Direct Comparison to a Reference Period: Meteorology discussed  not quantified,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282436,R1000,,P9041,Methods,L619998,literal,Direct Comparison to a Reference Period: Meteorology discussed  not quantified,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282437,R1000,,P9041,Methods,L620009,literal,Direct Comparison to a Reference Period: Meteorology discussed  not quantified,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282438,R1000,,P9041,Methods,L620020,literal,Direct Comparison to a Reference Period: Meteorology discussed  not quantified,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282439,R1000,,P9041,Methods,L620031,literal,Direct Comparison to a Reference Period: Meteorology discussed  not quantified,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282440,R1000,,P9041,Methods,L620042,literal,Direct Comparison to a Reference Period: Meteorology discussed  not quantified,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282441,R1000,,P9041,Methods,L620053,literal,Direct Comparison to a Reference Period: Meteorology discussed  not quantified,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282442,R1000,,P9041,Methods,L620064,literal,Direct Comparison to a Reference Period: Meteorology discussed  not quantified,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282443,R1000,,P9041,Methods,L620075,literal,Direct Comparison to a Reference Period: Meteorology discussed  not quantified,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282444,R1000,,P9041,Methods,L620086,literal,Direct Comparison to a Reference Period: Meteorology discussed  not quantified,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282445,R1000,,P9041,Methods,L620097,literal,Direct Comparison to a Reference Period: Meteorology discussed  not quantified,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282446,R1000,,P9041,Methods,L620108,literal,Direct Comparison to a Reference Period: Meteorology discussed  not quantified,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282447,R1000,,P9041,Methods,L620119,literal,Direct Comparison to a Reference Period: Meteorology discussed  not quantified,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282449,R1000,,P9041,Methods,L620130,literal,Direct Comparison to a Reference Period: Meteorology discussed  not quantified,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282450,R1000,,P9041,Methods,L620141,literal,Direct Comparison to a Reference Period: Meteorology discussed  not quantified,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282451,R1000,,P9041,Methods,L620152,literal,Direct Comparison to a Reference Period: Meteorology discussed  not quantified,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282452,R1000,,P9041,Methods,L620163,literal,Direct Comparison to a Reference Period: Meteorology discussed  not quantified,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
R282453,R1000,,P9041,Methods,L620174,literal,Direct Comparison to a Reference Period: Meteorology discussed  not quantified,100,Valid: has value,100,Inapplicable (not URL),100,Inapplicable (not resource),100,Inapplicable (not repo URL),,,
